X0 | Y0 | Z0 | UX | UY | UZ
0.0|53.75|0.001|-5.38079678882e-46|-23.5640843805|-18.0662262302
1.7960549593|53.7199821472|0.001|-0.465445750654|-23.5649306174|-18.0965716526
3.59010410309|53.6299705505|0.001|-0.944141054017|-23.5660712984|-18.1854484784
5.38014364243|53.4800567627|0.001|-1.44802027701|-23.563913843|-18.3279635684
7.1641740799|53.2704162598|0.001|-1.98725360116|-23.553220372|-18.5160380863
8.94020271301|53.0012779236|0.001|-2.56950960805|-23.5274868982|-18.7390916304
10.706246376|52.6729431152|0.001|-3.19930108779|-23.4797409232|-18.9850375842
12.4603328705|52.2857780457|0.001|-3.87756706409|-23.4033320354|-19.241294032
14.2005023956|51.8402175903|0.001|-4.60170183313|-23.2925039848|-19.496108815
15.9248123169|51.3367576599|0.001|-5.36606394766|-23.1430717842|-19.7393451622
17.6313362122|50.7759628296|0.001|-6.16315727845|-22.9524760057|-19.9631365175
19.3181686401|50.1584587097|0.001|-6.98458119723|-22.7195803333|-20.1624171255
20.983423233|49.4849319458|0.001|-7.82203960324|-22.4443750701|-20.3347462348
22.6252441406|48.7561378479|0.001|-8.66795425028|-22.1276619428|-20.4800262494
24.2417945862|47.9728889465|0.001|-9.51542351843|-21.7708494679|-20.599968639
25.8312702179|47.1360588074|0.001|-10.3583488302|-21.3756861715|-20.6975569137
27.3918952942|46.2465858459|0.001|-11.1912291557|-20.9443198364|-20.7766141342
28.9219264984|45.3054580688|0.001|-12.0093474635|-20.4790157981|-20.8413191926
30.4196567535|44.3137321472|0.001|-12.8085771088|-19.9822302108|-20.8958907474
31.8834114075|43.2725143433|0.001|-13.5856116247|-19.4563574321|-20.9443052159
33.3115577698|42.1829681396|0.001|-14.33794532|-18.9036534432|-20.9900882668
34.702495575|41.0463066101|0.001|-15.0640905468|-18.3259953726|-21.0360687226
36.0546798706|39.8638000488|0.001|-15.7635174149|-17.7248637745|-21.0841350344
37.3665924072|38.6367721558|0.001|-16.4364553593|-17.1011277464|-21.1350631672
38.6367721558|37.3665924072|0.001|-17.0834052229|-16.4550999169|-21.1883267151
39.8638000488|36.0546798706|0.001|-17.7048759114|-15.7866800503|-21.242002956
41.0463066101|34.702495575|0.001|-18.3011760011|-15.0956320843|-21.2927045637
42.1829681396|33.3115577698|0.001|-18.872292965|-14.3816687648|-21.3355896053
43.2725143433|31.8834114075|0.001|-19.4176116584|-13.644661328|-21.364584288
44.3137321472|30.4196567535|0.001|-19.9360429774|-12.8846973227|-21.37271709
45.3054580688|28.9219264984|0.001|-20.4261478326|-12.1024767762|-21.3526478011
46.2465858459|27.3918952942|0.001|-20.8864532383|-11.299260699|-21.29715785
47.1360588074|25.8312702179|0.001|-21.3153130413|-10.4771234668|-21.1999061418
47.9728889465|24.2417945862|0.001|-21.7109612118|-9.63904958812|-21.0562243744
48.7561378479|22.6252441406|0.001|-22.0710755594|-8.78963910188|-20.8635869241
49.4849319458|20.983423233|0.001|-22.3929747846|-7.93541693336|-20.6221015581
50.1584587097|19.3181686401|0.001|-22.67391678|-7.08511134454|-20.3349229533
50.7759628296|17.6313362122|0.001|-22.9117376616|-6.24912984546|-20.0083078608
51.3367576599|15.9248123169|0.001|-23.1053531657|-5.4387952745|-19.6515389505
51.8402175903|14.2005023956|0.001|-23.2556029328|-4.66408333831|-19.2763884222
52.2857780457|12.4603328705|0.001|-23.3654323336|-3.93259254348|-18.8967578475
52.6729431152|10.706246376|0.001|-23.4396577014|-3.24886348429|-18.5278287791
53.0012779236|8.94020271301|0.001|-23.4846230558|-2.61422612885|-18.1850311046
53.2704162598|7.1641740799|0.001|-23.5076170204|-2.02637444686|-17.8832517995
53.4800567627|5.38014364243|0.001|-23.5156974105|-1.47981145081|-17.6348908289
53.6299705505|3.59010410309|0.001|-23.5159064152|-0.966658854316|-17.4500272931
53.7199821472|1.7960549593|0.001|-23.5136389052|-0.477149417772|-17.3359757809
53.75|0.0|0.001|-23.5124322944|-1.32104563101e-45|-17.2972012482
0.0|0.0|0.001|7.40083738787e-48|8.20569394046e-47|-51.4257248995
